name,area,direction,floor,total_list,price_list,room,hall,jiading,fengxian,baoshan,chongming,xuhui,putuo,yangpu,songjiang,pudong,hongkou,jinshan,changning,minhang,qingpu,jingan,huangpu,qita,maopi,jianzhuang,jingzhuang
潍坊三村 ,33.13,1.0,中楼层(共5层),300,90553,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
博一小区 ,59.52,1.0,低楼层(共6层),355,59644,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
上南一村 ,34.15,1.0,高楼层(共6层),298,87263,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
潍坊八村 ,49.54,1.0,中楼层(共6层),450,90836,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
潍坊四村 ,40.63,1.0,高楼层(共6层),325,79991,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
光明·唐镇壹号 ,86.02,1.0,低楼层(共16层),480,55801,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
东升家园(三期) ,93.4,1.0,中楼层(共14层),285,30514,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
远洋万和四季 ,100.4,1.0,中楼层(共17层),416,41435,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
朱家门小区 ,54.49,1.0,高楼层(共6层),340,62397,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
东方颐城 ,82.85,1.0,低楼层(共7层),223,26917,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
永泰花苑 ,83.78,1.0,高楼层(共18层),599,71497,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
古北御庭 ,106.29,1.0,低楼层(共19层),1306,122872,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
丽泽荷亭苑 ,80.6,1.0,中楼层(共5层),173,21465,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
惠益新苑 ,78.69,1.0,低楼层(共18层),221,28085,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
和龙新苑 ,55.11,1.0,低楼层(共6层),289,52441,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
康桥宝邸 ,74.68,1.0,低楼层(共6层),380,50884,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
万科清林径 ,93.36,1.0,低楼层(共18层),347,37168,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
云莲苑 ,100.92,1.0,高楼层(共6层),665,65894,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
逸翠公馆 ,111.27,1.0,高楼层(共24层),955,85828,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
丽水雅苑 ,81.45,1.0,中楼层(共18层),260,31922,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
同润金色橘苑 ,92.25,1.0,低楼层(共11层),215,23307,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
绿洲康城亲水湾(东区) ,130.08,1.0,中楼层(共14层),850,65345,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
金鹏苑 ,64.3,1.0,低楼层(共6层),468,72784,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
锦绣华都 ,90.09,1.0,低楼层(共18层),610,67711,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
沈默花苑 ,102.37,1.0,低楼层(共8层),578,56462,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
绿洲康城亲水湾(中央区) ,103.38,1.0,低楼层(共17层),610,59006,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
仁和都市花园 ,93.15,1.0,高楼层(共14层),920,98766,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
荡湾新村 ,52.44,1.0,高楼层(共5层),149,28414,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
南桥小区 ,66.61,1.0,中楼层(共5层),285,42787,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
听潮四村 ,72.96,1.0,高楼层(共6层),203,27824,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
丽泽兰馨苑 ,102.45,1.0,中楼层(共6层),205,20010,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
中冶尚城 ,88.1,1.0,低楼层(共14层),820,93077,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
康桥花园东园 ,102.9,1.0,高楼层(共6层),455,44218,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
昌五小区 ,42.12,1.0,高楼层(共6层),273,64815,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
丽水雅苑 ,68.2,1.0,低楼层(共18层),221,32405,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
金色郦苑 ,57.89,1.0,中楼层(共17层),230,39731,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
世华锦城 ,51.71,1.0,低楼层(共18层),460,88958,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
新里城和合苑 ,52.96,1.0,低楼层(共6层),470,88747,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
德州六村 ,58.44,1.0,中楼层(共5层),395,67591,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
高行绿洲(五期) ,54.01,1.0,低楼层(共14层),270,49991,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
金杨新村三街坊 ,44.56,1.0,高楼层(共6层),280,62837,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
海尚康庭 ,81.61,1.0,高楼层(共14层),365,44725,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
印象春城 ,131.06,1.0,低楼层(共18层),786,59973,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
圣鑫苑 ,109,1.0,低楼层(共18层),538,49358,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
海尚乐苑 ,75.12,1.0,低楼层(共14层),375,49921,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
万科金色城市 ,159.07,1.0,24层,1650,103728,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
永泰花苑 ,57.8,1.0,低楼层(共11层),378,65398,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
金杨新村三街坊 ,43.13,1.0,高楼层(共7层),280,64921,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
盛世东苑 ,76.97,1.0,高楼层(共6层),315,40926,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
中金海棠湾（二期） ,113.42,1.0,低楼层(共8层),644,56781,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
凌兆新村(上浦路480弄) ,95.5,1.0,低楼层(共6层),520,54451,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
昱龙家园 ,93.21,1.0,高楼层(共6层),420,45060,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
御桥馨华苑 ,106.55,1.0,高楼层(共6层),770,72267,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
逸亭佳苑 ,93.05,1.0,低楼层(共14层),473,50833,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
鹏丰苑 ,115.82,1.0,17层,765,66051,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
美林小城 ,117.11,1.0,中楼层(共8层),700,59773,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
香山新村西北街坊 ,81.8,1.0,中楼层(共6层),575,70294,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
绿川小区 ,62.78,1.0,低楼层(共6层),360,57344,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
宝厦晶公馆 ,90.49,1.0,高楼层(共16层),530,58571,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
美林小城 ,84.49,1.0,低楼层(共6层),495,58587,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
金杨新村十街坊 ,72.84,1.0,高楼层(共6层),425,58348,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
听潮五村 ,92.85,1.0,高楼层(共5层),250,26926,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
城中花园 ,106.02,1.0,低楼层(共12层),630,59423,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
云帆佳苑 ,48.3,1.0,低楼层(共6层),118,24431,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
德州七村 ,43.69,1.0,中楼层(共6层),289,66148,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
三林世博家园(大道站路94弄) ,57,1.0,高楼层(共6层),342,60000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
罗山三村 ,49.4,1.0,高楼层(共6层),330,66802,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
仙都绿苑 ,81.27,1.0,低楼层(共28层),495,60909,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
东明苑 ,43.74,1.0,高楼层(共6层),282,64472,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
星颂家园 ,82.13,1.0,高楼层(共18层),420,51139,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
上钢八九村 ,39.68,0.0,低楼层(共6层),252,63509,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
上南八村 ,46.33,1.0,高楼层(共6层),328,70797,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
海芦镜湖苑 ,103.12,1.0,低楼层(共11层),200,19395,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
锦绣满堂北区 ,88.03,1.0,低楼层(共21层),895,101670,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
印象春城 ,113.89,1.0,低楼层(共18层),600,52683,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
由由六村 ,44.75,1.0,高楼层(共7层),308,68827,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
金云苑 ,125.97,1.0,低楼层(共20层),700,55569,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
东兴苑 ,55.35,1.0,低楼层(共6层),308,55646,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
高行银杏苑 ,71.87,1.0,高楼层(共6层),410,57048,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
丝庐雅苑二期 ,88.78,1.0,20层,330,37171,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
临港海滨国际花园 ,87.37,1.0,高楼层(共13层),225,25753,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
泉东(二)小区 ,31.7,1.0,中楼层(共6层),420,132493,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
乾耀东港 ,155.15,1.0,高楼层(共5层),410,26427,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
浦三小区 ,74.16,1.0,中楼层(共6层),430,57983,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
锦福苑 ,89.64,1.0,中楼层(共6层),313,34918,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
新沪东公寓 ,94.37,1.0,低楼层(共13层),680,72057,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
